Id,JobTitle,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,Address,Category,WorkingHours,CompanyName,JobDescription,ApplicationMethod,Document,Detail
50,[강남구] 강남선릉SK허브블루 경비원 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",월급 228 만원 ~ 228 만원,서울특별시 강남구 선릉로,강남구,"주3일
주 40시간 근로",（주）홈스웰,"직무내용
[강남구] 강남선릉SK허브블루 오피스텔 경비 
* 일반적인 경비 업무                         
* 07:00~익일07:00 (휴게시간 12:00~14:00, 18:00~20:00, 야간 취침시간 23:00~05:00)                     
* 월급 2,288,150원",방문,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAM002507040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
51,아파트경비원모집 - 강서구 마곡동 마곡벽산아파트,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력,아파트·빌라 경비원,월급 228 만원 이상,서울특별시 강서구 양천로47길,강서구,"주4일
주 48시간 근로",(주)세연종합관리,"직무내용
마곡동 마곡벽산아파트 경비원모집 
신임교육필수/복지카드소지 우대
격일근무/휴게 주4, 야6
월2,288,150원

지원희망시 이력서,이수증,복지카드 문자전송요망/010-8269-7724
문의전화 070-7777-3539","기타(이력서,이수증 채용담당자 핸드폰으로 문자전송요청/010-8269-7724)","이력서,기타(경비원 신임교육 이수증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
52,[이촌역] 재가요양보호사 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 용산구 이촌로75길,용산구,"주5일
09:00 ~ 12:00",시온사랑데이케어센터,"직무내용
[ 이촌역 인근 로얄맨션 ]  3등급 할아버지 재가요양

- 직무내용 : 조리 및 식사준비, 주변정리정돈 등 일상생활 지원

- 장기요양급여 적용 근로시간 : 1일 3시간
   
- 주5일 근무  /  근무시간 : 09:00~12:00

-  시급: 13,000원 (시급 10,030원 + 주휴수당, 연차수당 기타 제수당 포함)","방문,
기타 (통화 후 면접)",기타(자격증사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
53,[화곡동]4급할머니 14-17시 요양보호사 모집,등록일 : 2025-07-04,마감일 : 2025-07-18,Not found,경력무관,재가 요양보호사,"시급 10,030 원 이상",서울특별시 강서구 화곡로13길,강서구,"주3일
주 9시간 근로
14:00 ~ 17:00",행복나눔노인복지센터,"직무내용
- 4등급 할머니
- 주3일 14-17시 시간협의가능함. 
- 일상생활지원
- 시급: 13000원(수당포함)",방문,"이력서,기타(요양보호사 자격증,)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002507040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
54,재가요양보호사모집 - 서초구 서초동,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 서초구 서운로,서초구,"주5일
주 15시간 근로",서초실버복지센터,"직무내용
직무: 5등급 남자 어르신 돌봄

2024년이후 자격증취득자 or 치매교육이수자

근무시간: 09:00~12:00,주5일

시급: 12,800원 (주휴수당, 연차수당, 기타 수당 등 포함)

* 전화지원 오영희담당자(H:010-8339-1614)",기타(* 전화지원 오영희담당자(H:010-8339-1614)),"이력서,기타(요양보호사사본)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
55,보안팀장 채용,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력1년,보안 관제원,월급 274 만원 이상,서울특별시 구로구 디지털로26길,구로구,"주5일
주 40시간 근로
09:00 ~ 18:00",대륭포스트8차 운영위원회,"직무내용
보안. 주차 팀장 모집
- 보안대원 관리
- 경력 1년이상
- 컴퓨터 활용 가능자
- 경비지도사(일반) 자격증 필수
- 성범죄경력조회서 제출 필수","이메일(개인회원 로그인 후 조회가능),
기타 (- SNS - 이메일: sackju2000@hanmail.net)","이력서,기타(경비지도사 자격증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAH002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
56,[자양동/4등급/남자/오후] 재가 요양보호사 채용,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 광진구 아차산로,광진구,"주5일
주 15시간 근로
14:00 ~ 17:00",행복드림복지센터,"직무내용
* 4등급 남자어르신(39년생) 케어/거동가능/배우자와 거주
* 산책(아파트 단지 정원)동행_워커사용/주1회 샤워도움/청소 등 대상자 위주 업무
- 식사준비 없음

* 시급: 12,700원(기본:10,030원+주휴수당+연차수당 포함) 지급","방문,
기타 (전화면접)",기타(자격증 사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAG002507040008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
57,[이촌역] 파크타워 아파트 여자사우나 오후 관리사 채용,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,건물 청소원,월급 219 만원 ~ 219 만원,서울특별시 용산구 서빙고로,용산구,"주6일
주 38시간 근로",주식회사 타워피엠씨,"직무내용
[파크타워아파트 내 사우나 청소원]

- 직무내용: 여자 사우나 탕온도관리, 파우더룸 청소, 커뮤니티 공용부 청소, 수건세탁 및 건조, 게스트룸 청소

- 근무예정지: 용산구 이촌역 1번 출구 / 용산파크타워 아파트 사우나

- 근무시간: 화~토 14:00~22:00 (휴게시간 한시간)
               일,공휴일: 09:00~21:00 (휴게시간 두시간/일,공휴일 근무는 격주로 오전조와 교대 근무함)
  
- 주6일 근무 (월요일 휴관, 공휴일은 근무)

- 급여 : 월 2,190,000원

- 지원방법 : 방문 또는 팩스 접수","방문,팩스",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
58,(채용대행) 요양보호사모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 강남구 압구정로29길,강남구,"주5일
주 15시간 근로
13:00 ~ 16:00",민들레노인복지센터,"직무내용
압구정역 인근
현대아파트 4등급 할아버지 
주5일 오후1시~4시 (오전도 가능)
운동보조, 말벗 등
 
* 동성 요양보호사 희망","방문,팩스","이력서,기타(자격증 첨부)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKE002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
59,재가요양보호사모집 - 3등급/여자어르신/부부거주,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 영등포구 신길로,영등포구,주5일,(사랑나눔)요양센터,"직무내용
3등급/여자어르신 케어/부부거주
부축 거동 가능, 일상생활지원, 신체활동 
13:00~16:00/ 주5일 / 오후4시이후 비급여 있음
시급 13,000원
전화문의 010-4281-2309(이금옥센터장)",Not found,Not found,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
60,재가요양보호사모집 - 동작구 신대방동,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 동작구 신대방12길,동작구,"주5일
주 15시간 근로",우리집재가복지센터,"직무내용
4등급 남자어르신케어/독거
가사도움 및 일상생활지원
09:00~12:00(약간의 시간조율가능)/주5일
시급 12,700원(주휴수당, 연차수당 외 각종수당포함)
전화문의 후 지원가능 010-3057-1144(이숙성센터장)","방문,
기타 (전화문의 후 방문지원(010- 3057- 1144))","이력서,기타(요양보호사자격증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
61,[장안동] 송원빌딩 경비원 구인_ [장애인 복지카드 필수],등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",월급 198 만원 ~ 198 만원,서울특별시 동대문구 장한로,동대문구,"주4일
주 32시간 근로",주식회사 우창개발,"직무내용
[장안동] 송원빌딩 경비원 구인_ [장애인 복지카드 필수]

- 경비신임 교육 필수

- 격일제  07시 교대   (휴게 : 주간 3시간 11:30-13:00 /17:30-19:00/ 야간 7시간 22:00-06:00 )
  
- 급여 :1,908,030

-★★★★이력서 지원방법 팩스 지원 (★지원시 꼭 [ 송원빌딩 경비지원]으로 명시하여 이력서 발송)",팩스,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAL002507040002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
62,재가요양보호사 구인 [인수중학교 인근/ 4등급 남자],등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,신입,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 강북구 인수봉로81길,강북구,"주6일
주 18시간 근로
06:00 ~ 09:00",도우미실버케어,"직무내용
인수중학교 인근/ 4등급 남자어르신
- 직무내용 : 가사지원, 말벗 등  일상생활지원 
- 근무조건 : 06:00~09:00  / 주 6 일, 격주토 근무
- 급여 : 12,650원  (주휴수당 포함)",방문,기타(요양보호사 자격증(사본)),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAD002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
63,[대방동] 치매교육이수자 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 이상",서울특별시 동작구 대방동1길,동작구,"주5일
주 15시간 근로
10:00 ~ 13:00",효사랑복지센터,"직무내용
- 대상자: 5등급 할머니, 거동가능, 따님과 거주/치매교육이수자모집
- 직무내용: 인지활동, 정서지원, 개인활동지원, 일상생활지원
- 근로시간 : 10시~13시/주5일
- 급여:  시급10,030원[포괄 시급 12,700원]
*차분한 성격의 요양보호사 희망

* 이용자의 상황에 따라 근로시간 외 추가시간이 있을 수 있음.","방문,
기타 (전화 010-8006-5966)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAH002507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
64,[구로2동] 치매교육이수자모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 이상",서울특별시 구로구 가마산로,구로구,"주5일
주 15시간 근로
10:00 ~ 13:00",따봉방문요양노인복지센터,"직무내용
구로3동[구로고대병원 사거리 인근]

- 대상자: 5등급 할아버지, 배우자와 거주(주간보호센터가심), 거동가능
- 담당업무:  인지활동, 식사도움, 청소 등 가사 및 일상생활지원
- 근로시간 : 10:00~13:00/주5일
- 급여: 시급 10,030원[포괄 시급 12,700원]","방문,
기타 (전화문의 후 지원(010-6395-4298))","이력서,기타(요양보호사 자격증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAH002507040002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
65,도곡경남아파트 지하주차장청소 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",월급 170 만원 ~ 170 만원,서울특별시 강남구 논현로,강남구,"주6일
주 30시간 근로",삼우서비스주식회사,"직무내용
- 강남구 논현로209, 도곡경남아파트
- 1개동 청소 + 지하주차장청소 _ 보행식 청소차운행가능자
- 08:00-15:00, 토 09:00-12:00
- 월 1.706.120",방문,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAB002507040001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
66,아파트경비원모집 - 동작구 상도동 상도푸르지오클라베뉴아파트,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,아파트·빌라 경비원,월급 289 만원 이상,서울특별시 동작구 성대로,동작구,"주3일
주 48시간 근로",(주)듀델코리아,"직무내용
아파트 내 경비업무
신임교육필수/복지카드소지자 우대
격일근무(06:00~익일06:00)/휴게 주간3시간 야간4시간
월 2,898,380원
전화문의 후 지원가능 010-8323-9294(이광민부장)",방문,"이력서,기타(신임교육이수증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
67,[용산/신계동/2등급] 재가요양보호사 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 용산구 원효로,용산구,"주6일
주 24시간 근로",보드미재가복지센터,"직무내용
[ 용산구 신계동 이편한세상아파트거주 ] 2등급 할머니 케어
 
- 직무내용: 어르신케어 및 일상생활 서비스

- 장기요양급여 적용 근로시간: 1일 4시간 

- 근무시간: 09:30~13:30 (근로시간 외 추가시간 있을 수 있음)

- 주6일 근무

- 시급 13,000원 (시급 10,030원 + 주휴수당, 연차수당 기타 제수당 포함)","방문,
기타 (통화 후 면접)",기타(자격증사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
68,요양보호사 구인,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 이상",서울특별시 강서구 강서로31길,강서구,"주3일
주 9시간 근로",희망재가노인복지센터,"직무내용
- 3등급 할머니 
- 근무시간 : 13:00~16:00 (주3일)
- 워크넷 등록자, 장년우대
- 가사 및 일상생활지원
- 시급 13,300원
- 문의사항 010-2166-5246",기타(- 문의사항 010-2166-5246  ),"이력서,기타(요양보호사자격증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDE002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
69,[경복궁역 / 정안빌딩] 시설관리원 채용 *소방안전관리2급 이상 소...,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),월급 250 만원 ~ 260 만원,서울특별시 종로구 인왕산로1길,종로구,"주5일
주 40시간 근로
08:00 ~ 18:00",(주)정안빌딩매니지먼트,"직무내용
[경복궁역 / 정안빌딩] 시설관리원 채용 *가스.보일러 관련 1개 이상 자격증 소지자*

*필수! *소방안전관리2급 소지자 또는 사용시설안전관리양성교육*
>업무내용<
- 도시가스 안전관리
- 보일러 점검 및 가동
- 기타 시설물 유지보수

>급여: 월 250~260만 / 1식 제공
>근로시간: 주5일 / 08시~18시

>접수방법: 방문 또는 '이력서' 팩스(02-767-9567) 
>지원문의: ☎02-767-9504","방문,팩스",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAX002507040002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
70,건물관리원 - 영등포구 문래동(야간)- 장애인복지카드 우대,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,건물 관리원,월급 176 만원 이상,서울특별시 영등포구 문래동6가,영등포구,"주6일
주 34시간 근로",주식회사 크라운티엠에스,"직무내용
영등포구 문래 크라운타워 팰리스 오피스텔
건물관리원  --장애인복지카드 우대

야간 당직
건물 순찰, 단지 외부 청소
경비신임교육 무관

월176만원
17:00~익일08:00 (월~목) -휴게시간 19:00~20:15, 23:00~익일06:00,익일 07:00~08:00
                       (금요일 휴무)
09:00~18:00 (토,일 주간근무)-12-14시

전화지원 : 010-8775-7865 박종환 센터장",Not found,Not found,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
72,[신사동] 재가요양보호사 채용,등록일 : 2025-07-04,마감일 : 2025-08-03,Not found,경력무관,재가 요양보호사,"시급 13,000 원 ~ 13,000 원",서울특별시 은평구 갈현로5길,은평구,"주6일
주 18시간 근로
09:30 ~ 12:30",따봉방문요양노인복지센터,"직무내용
- 대  상  자 : 4등급 할머니, 거동가능
- 근무 내용 : 말벗, 일상생활지원
- 근       무 : 09:30~12:30/주6일
- 시       급 : 13,000원]",방문,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAO002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
73,[도봉동] 재가요양보호사 구인,등록일 : 2025-07-04,마감일 : 2025-07-18,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 도봉구 마들로,도봉구,"주3일
주 9시간 근로
09:00 ~ 12:00",편안애방문요양센터,"직무내용
★ 5등급 남어르신 (배우자와 거주)
- 마들로 684-20 (서원아파트) 거주
- 치매교육 이수자
- 월,수,금(주3일) 9시~12시 
- 시급 : 12,700원 (제수당 포함)
☎ 연락처 : 편안애방문요양센터
   센터장 010-3158-4229","방문,
기타 (연락 후 면접 진행)","이력서,기타(요양보호사 자격증 필수)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11292507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
74,[삼전동] 삼전현대아파트 경비원 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,아파트·빌라 경비원,월급 209 만원 ~ 209 만원,서울특별시 송파구 백제고분로22길,송파구,"주5일
주 40시간 근로",신한영관리(주),"직무내용
삼전동현대아파트 경비 , 경비신임교육이수
근무시간:07:00~07:00(격일) 
급여:2,097,450원

지원희망시 이력서지참하고 전화후( 010-7350-6889 ) 방문바랍니다.",방문,"이력서,기타(경비원 신임교육이수증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAS002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
75,재가요양보호사 구인 [장미원시장 인근/ 4등급 여자],등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 강북구 삼양로,강북구,"주5일
주 15시간 근로
14:00 ~ 17:00",여기조은재가복지센터,"직무내용
[장미원시장 인근] 4등급 여자어르신

- 직무내용 : 치매관련 신체활동 지원, 정서지원 등
- 근무조건 : 14:00~17:00/ 주5일
- 시급 12,700원 (주휴수당 등 포함)",방문,이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAD002507040001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
